family_id	final_status	n	total_n	prop
OG0000049	A	57	532	0.10714285714285714
OG0000049	F	7	532	0.013157894736842105
OG0000049	P	229	532	0.43045112781954886
OG0000049	U	239	532	0.4492481203007519
OG0000054	A	23	199	0.11557788944723618
OG0000054	F	7	199	0.035175879396984924
OG0000054	P	129	199	0.6482412060301508
OG0000054	U	40	199	0.20100502512562815
OG0000060	A	118	605	0.19504132231404958
OG0000060	F	11	605	0.01818181818181818
OG0000060	P	422	605	0.6975206611570248
OG0000060	U	54	605	0.08925619834710743
OG0000065	A	28	200	0.14
OG0000065	F	3	200	0.015
OG0000065	P	149	200	0.745
OG0000065	U	20	200	0.1
OG0000075	P	21	21	1.0
OG0000077	A	3	147	0.02040816326530612
OG0000077	F	2	147	0.013605442176870748
OG0000077	P	107	147	0.7278911564625851
OG0000077	U	35	147	0.23809523809523808
OG0000083	F	2	37	0.05405405405405406
OG0000083	P	18	37	0.4864864864864865
OG0000083	U	17	37	0.4594594594594595
OG0000086	A	23	67	0.34328358208955223
OG0000086	P	12	67	0.1791044776119403
OG0000086	U	32	67	0.47761194029850745
OG0000087	A	22	162	0.13580246913580246
OG0000087	P	108	162	0.6666666666666666
OG0000087	U	32	162	0.19753086419753085
OG0000090	A	11	168	0.06547619047619048
OG0000090	F	11	168	0.06547619047619048
OG0000090	P	73	168	0.43452380952380953
OG0000090	U	73	168	0.43452380952380953
OG0000093	A	5	34	0.14705882352941177
OG0000093	F	15	34	0.4411764705882353
OG0000093	P	5	34	0.14705882352941177
OG0000093	U	9	34	0.2647058823529412
OG0000095	P	35	38	0.9210526315789473
OG0000095	U	3	38	0.07894736842105263
OG0000096	A	1	58	0.017241379310344827
OG0000096	F	8	58	0.13793103448275862
OG0000096	P	28	58	0.4827586206896552
OG0000096	U	21	58	0.3620689655172414
OG0000100	F	3	21	0.14285714285714285
OG0000100	P	12	21	0.5714285714285714
OG0000100	U	6	21	0.2857142857142857
OG0000103	A	23	124	0.18548387096774194
OG0000103	F	3	124	0.024193548387096774
OG0000103	P	81	124	0.6532258064516129
OG0000103	U	17	124	0.13709677419354838
OG0000106	A	8	402	0.01990049751243781
OG0000106	F	53	402	0.1318407960199005
OG0000106	P	106	402	0.263681592039801
OG0000106	U	235	402	0.5845771144278606
OG0000107	F	28	336	0.08333333333333333
OG0000107	P	165	336	0.49107142857142855
OG0000107	U	143	336	0.4255952380952381
OG0000118	A	30	48	0.625
OG0000118	P	1	48	0.020833333333333332
OG0000118	U	17	48	0.3541666666666667
OG0000126	A	7	212	0.0330188679245283
OG0000126	F	2	212	0.009433962264150943
OG0000126	P	135	212	0.6367924528301887
OG0000126	U	68	212	0.32075471698113206
OG0000141	P	34	39	0.8717948717948718
OG0000141	U	5	39	0.1282051282051282
OG0000142	A	18	84	0.21428571428571427
OG0000142	P	3	84	0.03571428571428571
OG0000142	U	63	84	0.75
OG0000147	A	31	173	0.1791907514450867
OG0000147	F	21	173	0.12138728323699421
OG0000147	P	102	173	0.5895953757225434
OG0000147	U	19	173	0.10982658959537572
OG0000150	A	22	258	0.08527131782945736
OG0000150	F	7	258	0.027131782945736434
OG0000150	P	156	258	0.6046511627906976
OG0000150	U	73	258	0.28294573643410853
OG0000158	U	23	23	1.0
OG0000159	F	40	172	0.23255813953488372
OG0000159	P	94	172	0.5465116279069767
OG0000159	U	38	172	0.22093023255813954
OG0000164	A	2	179	0.0111731843575419
OG0000164	P	177	179	0.9888268156424581
OG0000166	A	4	428	0.009345794392523364
OG0000166	F	27	428	0.0630841121495327
OG0000166	P	188	428	0.4392523364485981
OG0000166	U	209	428	0.4883177570093458
OG0000167	P	99	151	0.6556291390728477
OG0000167	U	52	151	0.3443708609271523
OG0000170	A	27	3731	0.007236665773251139
OG0000170	F	970	3731	0.2599839185205039
OG0000170	P	625	3731	0.16751541141785045
OG0000170	U	2109	3731	0.5652640042883945
OG0000182	A	5	427	0.0117096018735363
OG0000182	F	38	427	0.08899297423887588
OG0000182	P	253	427	0.5925058548009368
OG0000182	U	131	427	0.30679156908665106
OG0000184	A	1	326	0.003067484662576687
OG0000184	F	22	326	0.06748466257668712
