"","Dim.1","Dim.2","label","p_value"
"bio13",0.990945466447345,0.134264971334498,"bio13",0.614
"bio15",-0.258242988796239,0.966079996034275,"bio15",0.001
"bio16",0.95873978607984,-0.284285107924393,"bio16",0.464
"bio18",0.869236534094407,-0.494396448000532,"bio18",0.95
"bio2",-0.998213660067015,-0.0597451994357181,"bio2",0.52
"bio3",-0.346937727890584,-0.937888166556183,"bio3",0.002
"bio5",0.670638525362703,-0.741784313867137,"bio5",0.015
"bio7",-0.0204583258095102,0.999790706550662,"bio7",0.001
"bio8",0.0901866774577431,-0.995924878296116,"bio8",0.177
