"gene","assembly","group","window","repeat_class","n_te_class"
"AL8G35140","73_3a","Family","gene_body","LTR/Copia",2
"AL8G38700","73_3a","Family","gene_body","DNA/Helitron",1
"AL8G38710","73_3a","Family","gene_body","DNA/Helitron",1
"AL8G39600","73_3a","Family","gene_body","LTR/unknown",1
"AL9U10510","73_3a","Family","gene_body","LINE/unknown",1
"AL123U10010","73_3a","Family","pm1kb","DNA/MULE-MuDR",1
"AL123U10020","73_3a","Family","pm1kb","LTR/Copia",1
"AL123U10020","73_3a","Family","pm1kb","LTR/unknown",3
"AL158U10030","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G23620","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G23630","73_3a","Family","pm1kb","SINE/tRNA",2
"AL1G24180","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G24250","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G29380","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G30000","73_3a","Family","pm1kb","LTR/Ty3",2
"AL1G34620","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G35130","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G35270","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G35480","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G35480","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G37130","73_3a","Family","pm1kb","LINE/L1",1
"AL1G38470","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G38470","73_3a","Family","pm1kb","SINE/unknown",1
"AL1G39230","73_3a","Family","pm1kb","LTR/Gypsy",1
"AL1G40990","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G41000","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G41010","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G41020","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G43320","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G44890","73_3a","Family","pm1kb","DNA/Helitron",3
"AL1G44890","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G44920","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G44920","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G44930","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G45270","73_3a","Family","pm1kb","LINE/L1",2
"AL1G45480","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G45490","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G45490","73_3a","Family","pm1kb","LTR/unknown",2
"AL1G45580","73_3a","Family","pm1kb","LINE/L1",1
"AL1G45580","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G45610","73_3a","Family","pm1kb","LINE/L1",1
"AL1G45610","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G45620","73_3a","Family","pm1kb","LINE/L1",1
"AL1G45620","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G45700","73_3a","Family","pm1kb","LINE/L1",1
"AL1G46260","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G46270","73_3a","Family","pm1kb","LINE/L1",2
"AL1G46280","73_3a","Family","pm1kb","LINE/L1",1
"AL1G46620","73_3a","Family","pm1kb","LINE/L1",1
"AL1G46620","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G46640","73_3a","Family","pm1kb","LINE/L1",1
"AL1G46640","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G46660","73_3a","Family","pm1kb","LINE/L1",1
"AL1G46660","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G47430","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G47470","73_3a","Family","pm1kb","LTR/Ty3",1
"AL1G47530","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G48080","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G49160","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G49660","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G49830","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G50120","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G50120","73_3a","Family","pm1kb","LTR/Ty3",2
"AL1G50120","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G50150","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G50150","73_3a","Family","pm1kb","LTR/Gypsy",2
"AL1G50170","73_3a","Family","pm1kb","DNA/MULE-MuDR",2
"AL1G50190","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G50210","73_3a","Family","pm1kb","LTR/unknown",2
"AL1G50220","73_3a","Family","pm1kb","DNA/Helitron",4
"AL1G50610","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G51900","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G51900","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G52660","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G52750","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G52750","73_3a","Family","pm1kb","LTR/Gypsy",1
"AL1G53500","73_3a","Family","pm1kb","LINE/L1",1
"AL1G53520","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G53520","73_3a","Family","pm1kb","SINE/tRNA",1
"AL1G53540","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G53610","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G53620","73_3a","Family","pm1kb","LTR/Ty3",1
"AL1G53980","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G53990","73_3a","Family","pm1kb","DNA/Helitron",3
"AL1G54030","73_3a","Family","pm1kb","LINE/L1",1
"AL1G54030","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G54580","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G54620","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G54620","73_3a","Family","pm1kb","LTR/Ty3",1
"AL1G55540","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G55540","73_3a","Family","pm1kb","LINE/L1",1
"AL1G56270","73_3a","Family","pm1kb","LINE/L1",2
"AL1G57350","73_3a","Family","pm1kb","LTR/Ty3",2
"AL1G58510","73_3a","Family","pm1kb","LINE/L1",2
"AL1G58940","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G59700","73_3a","Family","pm1kb","LTR/unknown",2
