"gene","assembly","group","window","repeat_class","n_te_class"
"AL4G43680","BOR_v1","Family","pm25kb","LTR/Copia",5
"AL4G44060","BOR_v1","Single-copy","pm25kb","LINE/L1",1
"AL4G44060","BOR_v1","Single-copy","pm25kb","LINE/unknown",1
"AL4G44060","BOR_v1","Single-copy","pm25kb","LTR/Copia",1
"AL4G44060","BOR_v1","Single-copy","pm25kb","SINE/tRNA",1
"AL4G44060","BOR_v1","Single-copy","pm25kb","SINE/unknown",1
"AL4G44290","BOR_v1","Family","pm25kb","DNA/Helitron",3
"AL4G44290","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL57U10020","BOR_v1","Family","pm25kb","DNA/Helitron",9
"AL57U10020","BOR_v1","Family","pm25kb","LINE/L1",4
"AL57U10020","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL57U10020","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL57U10020","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL57U10030","BOR_v1","Family","pm25kb","DNA/Helitron",2
"AL57U10030","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL57U10030","BOR_v1","Family","pm25kb","LINE/L1",2
"AL57U10030","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL57U10030","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G11470","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G11470","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G11470","BOR_v1","Family","pm25kb","LTR/Copia",8
"AL5G11470","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G11470","BOR_v1","Family","pm25kb","LTR/Ty3",31
"AL5G11470","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G11470","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G11890","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G11890","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G11890","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G11890","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G12220","BOR_v1","Family","pm25kb","DNA/Helitron",40
"AL5G12220","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G12220","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G12220","BOR_v1","Family","pm25kb","LINE/unknown",5
"AL5G12220","BOR_v1","Family","pm25kb","LTR/Copia",11
"AL5G12220","BOR_v1","Family","pm25kb","LTR/Gypsy",77
"AL5G12220","BOR_v1","Family","pm25kb","LTR/Ty3",124
"AL5G12220","BOR_v1","Family","pm25kb","LTR/unknown",2
"AL5G12460","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G12460","BOR_v1","Family","pm25kb","LTR/Copia",8
"AL5G12460","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G12460","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G12460","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G12470","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G12470","BOR_v1","Family","pm25kb","LTR/Copia",14
"AL5G12470","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G12470","BOR_v1","Family","pm25kb","LTR/unknown",7
"AL5G12470","BOR_v1","Family","pm25kb","SINE/tRNA",4
"AL5G12480","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G12480","BOR_v1","Family","pm25kb","LTR/unknown",4
"AL5G12480","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G12490","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G12490","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G12490","BOR_v1","Family","pm25kb","LTR/unknown",4
"AL5G12490","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G12680","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G12680","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G12680","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G12680","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G12680","BOR_v1","Family","pm25kb","LTR/Ty3",7
"AL5G12680","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G13350","BOR_v1","Family","pm25kb","DNA/Helitron",2
"AL5G13350","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G13350","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G13350","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G13720","BOR_v1","Family","pm25kb","DNA/Helitron",12
"AL5G13720","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G13720","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G13720","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G13720","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G13720","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G13870","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G13870","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",6
"AL5G13870","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G13870","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G13870","BOR_v1","Family","pm25kb","LTR/Ty3",12
"AL5G13880","BOR_v1","Family","pm25kb","DNA/Helitron",13
"AL5G13880","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",12
"AL5G13880","BOR_v1","Family","pm25kb","LINE/unknown",5
"AL5G13880","BOR_v1","Family","pm25kb","LTR/Gypsy",12
"AL5G13880","BOR_v1","Family","pm25kb","LTR/Ty3",24
"AL5G13890","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G13890","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",7
"AL5G13890","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G13890","BOR_v1","Family","pm25kb","LINE/unknown",4
"AL5G13890","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G13890","BOR_v1","Family","pm25kb","LTR/Ty3",21
"AL5G13900","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G13900","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",1
"AL5G13900","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G13900","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G13900","BOR_v1","Family","pm25kb","LTR/Ty3",5
"AL5G13910","BOR_v1","Family","pm25kb","DNA/Helitron",20
"AL5G13910","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",8
"AL5G13910","BOR_v1","Family","pm25kb","LINE/L1",5
"AL5G13910","BOR_v1","Family","pm25kb","LINE/unknown",8
"AL5G13910","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G13910","BOR_v1","Family","pm25kb","LTR/Ty3",31
"AL5G14830","BOR_v1","Single-copy","pm25kb","DNA/Helitron",5
"AL5G14830","BOR_v1","Single-copy","pm25kb","LINE/L1",1
"AL5G14940","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G14940","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G14940","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G14940","BOR_v1","Family","pm25kb","LTR/Gypsy",1
"AL5G14940","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G14940","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G14950","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G14950","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G14950","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G14950","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G14950","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G14950","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G14950","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G15010","BOR_v1","Family","pm25kb","DNA/Helitron",13
"AL5G15010","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",8
"AL5G15010","BOR_v1","Family","pm25kb","LTR/Gypsy",3
"AL5G15010","BOR_v1","Family","pm25kb","LTR/unknown",9
"AL5G15040","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G15040","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",7
"AL5G15040","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15050","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G15050","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G15050","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15060","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G15060","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G15060","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15070","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G15070","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G15070","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15090","BOR_v1","Family","pm25kb","DNA/Helitron",6
"AL5G15090","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15100","BOR_v1","Family","pm25kb","DNA/Helitron",7
"AL5G15100","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15330","BOR_v1","Family","pm25kb","DNA/Helitron",7
"AL5G15330","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G15330","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G15330","BOR_v1","Family","pm25kb","LTR/unknown",2
"AL5G15840","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G15840","BOR_v1","Family","pm25kb","LINE/L1",4
"AL5G15840","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G15840","BOR_v1","Family","pm25kb","LTR/Ty3",8
"AL5G15840","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G15900","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G15900","BOR_v1","Family","pm25kb","LTR/Copia",9
"AL5G15900","BOR_v1","Family","pm25kb","LTR/Gypsy",3
"AL5G15900","BOR_v1","Family","pm25kb","LTR/Ty3",2
"AL5G15910","BOR_v1","Family","pm25kb","DNA/Helitron",4
"AL5G15910","BOR_v1","Family","pm25kb","LTR/Copia",9
"AL5G15910","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G15910","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G16540","BOR_v1","Single-copy","pm25kb","DNA/Helitron",2
"AL5G16540","BOR_v1","Single-copy","pm25kb","DNA/MULE-MuDR",2
"AL5G16540","BOR_v1","Single-copy","pm25kb","LTR/Copia",3
"AL5G16540","BOR_v1","Single-copy","pm25kb","LTR/Gypsy",5
"AL5G16540","BOR_v1","Single-copy","pm25kb","LTR/Ty3",6
"AL5G16640","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G16640","BOR_v1","Family","pm25kb","LTR/Copia",4
"AL5G16640","BOR_v1","Family","pm25kb","LTR/Gypsy",2
"AL5G16640","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G16640","BOR_v1","Family","pm25kb","LTR/unknown",2
"AL5G16640","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G16800","BOR_v1","Family","pm25kb","DNA/Helitron",2
"AL5G16800","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",1
"AL5G16800","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G16800","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G16800","BOR_v1","Family","pm25kb","LTR/Ty3",9
"AL5G16800","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G16890","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G16890","BOR_v1","Family","pm25kb","LINE/L1",4
"AL5G16890","BOR_v1","Family","pm25kb","LINE/unknown",4
"AL5G16890","BOR_v1","Family","pm25kb","LTR/Copia",17
"AL5G16890","BOR_v1","Family","pm25kb","LTR/Ty3",9
"AL5G16890","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G16890","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G16900","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G16900","BOR_v1","Family","pm25kb","LINE/unknown",3
"AL5G16900","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G16910","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G16910","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G16910","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G16910","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G16920","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G16920","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G16920","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G16920","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G16920","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G17120","BOR_v1","Family","pm25kb","DNA/Helitron",3
"AL5G17120","BOR_v1","Family","pm25kb","LTR/Ty3",7
"AL5G17120","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G17530","BOR_v1","Family","pm25kb","DNA/Helitron",7
"AL5G17530","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G17530","BOR_v1","Family","pm25kb","LTR/Copia",11
"AL5G17530","BOR_v1","Family","pm25kb","LTR/Ty3",2
"AL5G17530","BOR_v1","Family","pm25kb","LTR/unknown",5
"AL5G17530","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G18020","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G18020","BOR_v1","Family","pm25kb","LINE/L1",5
"AL5G18020","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G18020","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G18060","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G18060","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G18290","BOR_v1","Family","pm25kb","DNA/Helitron",11
"AL5G18290","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G18290","BOR_v1","Family","pm25kb","LINE/unknown",3
"AL5G18290","BOR_v1","Family","pm25kb","LTR/Gypsy",1
"AL5G18290","BOR_v1","Family","pm25kb","LTR/Ty3",4
"AL5G18580","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G18580","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G18740","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",6
"AL5G18740","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G18740","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G18740","BOR_v1","Family","pm25kb","LTR/Ty3",13
"AL5G18790","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G18790","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G18790","BOR_v1","Family","pm25kb","LTR/unknown",4
"AL5G18800","BOR_v1","Family","pm25kb","DNA/Helitron",3
"AL5G18800","BOR_v1","Family","pm25kb","LINE/L1",4
"AL5G18800","BOR_v1","Family","pm25kb","LINE/unknown",3
"AL5G18800","BOR_v1","Family","pm25kb","LTR/Gypsy",3
"AL5G18800","BOR_v1","Family","pm25kb","LTR/Ty3",12
"AL5G18800","BOR_v1","Family","pm25kb","LTR/unknown",10
"AL5G19300","BOR_v1","Family","pm25kb","DNA/Helitron",2
"AL5G19300","BOR_v1","Family","pm25kb","LTR/Copia",21
"AL5G19300","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G19300","BOR_v1","Family","pm25kb","LTR/unknown",11
"AL5G19300","BOR_v1","Family","pm25kb","SINE/tRNA",6
"AL5G19410","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",7
"AL5G19410","BOR_v1","Family","pm25kb","LINE/L1",4
"AL5G19410","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G19410","BOR_v1","Family","pm25kb","LTR/Gypsy",8
"AL5G19410","BOR_v1","Family","pm25kb","LTR/Ty3",10
"AL5G19550","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G19550","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G19550","BOR_v1","Family","pm25kb","LINE/unknown",3
"AL5G19550","BOR_v1","Family","pm25kb","LTR/Gypsy",1
"AL5G19550","BOR_v1","Family","pm25kb","LTR/Ty3",4
"AL5G19650","BOR_v1","Family","pm25kb","DNA/Helitron",3
"AL5G19650","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G19650","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G19650","BOR_v1","Family","pm25kb","LTR/Ty3",13
"AL5G19700","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G19700","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G19700","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G19700","BOR_v1","Family","pm25kb","LTR/Ty3",10
"AL5G19700","BOR_v1","Family","pm25kb","SINE/unknown",1
"AL5G19750","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G19750","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",1
"AL5G19750","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G19750","BOR_v1","Family","pm25kb","LTR/Copia",12
"AL5G19750","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G19750","BOR_v1","Family","pm25kb","LTR/Ty3",5
"AL5G19750","BOR_v1","Family","pm25kb","LTR/unknown",2
"AL5G19780","BOR_v1","Family","pm25kb","DNA/Helitron",13
"AL5G19780","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G19780","BOR_v1","Family","pm25kb","LTR/Gypsy",2
"AL5G19780","BOR_v1","Family","pm25kb","LTR/Ty3",10
"AL5G20510","BOR_v1","Family","pm25kb","DNA/Helitron",7
"AL5G20510","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G20510","BOR_v1","Family","pm25kb","LTR/Ty3",19
"AL5G20510","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G20650","BOR_v1","Family","pm25kb","DNA/Helitron",5
"AL5G20650","BOR_v1","Family","pm25kb","LTR/Gypsy",5
"AL5G20650","BOR_v1","Family","pm25kb","LTR/Ty3",7
"AL5G20660","BOR_v1","Family","pm25kb","DNA/Helitron",6
"AL5G20660","BOR_v1","Family","pm25kb","LTR/Gypsy",1
"AL5G20660","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G20690","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G20690","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G20690","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G20690","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G20690","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G20790","BOR_v1","Family","pm25kb","DNA/Helitron",14
"AL5G20790","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G20790","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G20790","BOR_v1","Family","pm25kb","LTR/Ty3",2
"AL5G20790","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G20810","BOR_v1","Family","pm25kb","DNA/Helitron",22
"AL5G20810","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G20810","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G20810","BOR_v1","Family","pm25kb","LTR/Copia",5
"AL5G20810","BOR_v1","Family","pm25kb","LTR/Ty3",2
"AL5G20810","BOR_v1","Family","pm25kb","LTR/unknown",9
"AL5G20820","BOR_v1","Family","pm25kb","DNA/Helitron",20
"AL5G20820","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G20820","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G20820","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G21750","BOR_v1","Family","pm25kb","DNA/Helitron",7
"AL5G21750","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G21750","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G21750","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G21750","BOR_v1","Family","pm25kb","LTR/Copia",3
"AL5G21750","BOR_v1","Family","pm25kb","LTR/Ty3",3
"AL5G21750","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G22030","BOR_v1","Family","pm25kb","DNA/Helitron",11
"AL5G22030","BOR_v1","Family","pm25kb","LINE/L1",4
"AL5G22030","BOR_v1","Family","pm25kb","LINE/unknown",6
"AL5G22030","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G22030","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G22280","BOR_v1","Family","pm25kb","DNA/Helitron",8
"AL5G22280","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G22280","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G22280","BOR_v1","Family","pm25kb","LTR/Gypsy",5
"AL5G22280","BOR_v1","Family","pm25kb","LTR/Ty3",12
"AL5G22280","BOR_v1","Family","pm25kb","LTR/unknown",5
"AL5G22370","BOR_v1","Family","pm25kb","DNA/Helitron",14
"AL5G22370","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G22370","BOR_v1","Family","pm25kb","LINE/unknown",5
"AL5G22370","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G22900","BOR_v1","Family","pm25kb","DNA/Helitron",6
"AL5G22900","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G22900","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G22900","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G22900","BOR_v1","Family","pm25kb","LTR/Ty3",9
"AL5G22900","BOR_v1","Family","pm25kb","LTR/unknown",2
"AL5G22900","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G22900","BOR_v1","Family","pm25kb","SINE/unknown",1
"AL5G23010","BOR_v1","Family","pm25kb","LTR/Copia",9
"AL5G23140","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G23140","BOR_v1","Family","pm25kb","LTR/Copia",4
"AL5G23140","BOR_v1","Family","pm25kb","LTR/unknown",4
"AL5G23180","BOR_v1","Family","pm25kb","DNA/Helitron",42
"AL5G23180","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G23180","BOR_v1","Family","pm25kb","LINE/L1",8
"AL5G23180","BOR_v1","Family","pm25kb","LINE/unknown",5
"AL5G23180","BOR_v1","Family","pm25kb","LTR/Copia",12
"AL5G23180","BOR_v1","Family","pm25kb","LTR/Gypsy",85
"AL5G23180","BOR_v1","Family","pm25kb","LTR/Ty3",121
"AL5G23180","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G23200","BOR_v1","Family","pm25kb","DNA/Helitron",12
"AL5G23200","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G23200","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G23200","BOR_v1","Family","pm25kb","LTR/Gypsy",1
"AL5G23200","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G23210","BOR_v1","Family","pm25kb","DNA/Helitron",13
"AL5G23210","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G23210","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G23210","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G23210","BOR_v1","Family","pm25kb","LTR/Gypsy",6
"AL5G23210","BOR_v1","Family","pm25kb","LTR/Ty3",9
"AL5G23210","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G23230","BOR_v1","Family","pm25kb","DNA/Helitron",16
"AL5G23230","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G23230","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G23230","BOR_v1","Family","pm25kb","LTR/Gypsy",3
"AL5G23230","BOR_v1","Family","pm25kb","LTR/Ty3",26
"AL5G23230","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G23230","BOR_v1","Family","pm25kb","SINE/tRNA",5
"AL5G23230","BOR_v1","Family","pm25kb","SINE/unknown",1
"AL5G23250","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G23250","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G23250","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G23490","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G23490","BOR_v1","Family","pm25kb","LINE/L1",3
"AL5G23490","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G23490","BOR_v1","Family","pm25kb","LTR/Copia",1
"AL5G23490","BOR_v1","Family","pm25kb","LTR/Ty3",6
"AL5G23490","BOR_v1","Family","pm25kb","SINE/tRNA",2
"AL5G23680","BOR_v1","Family","pm25kb","DNA/Helitron",17
"AL5G23680","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G23680","BOR_v1","Family","pm25kb","LTR/Copia",2
"AL5G23680","BOR_v1","Family","pm25kb","LTR/unknown",3
"AL5G23680","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G23780","BOR_v1","Family","pm25kb","DNA/Helitron",17
"AL5G23780","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G23780","BOR_v1","Family","pm25kb","LINE/L1",2
"AL5G23780","BOR_v1","Family","pm25kb","LINE/unknown",2
"AL5G23780","BOR_v1","Family","pm25kb","LTR/unknown",4
"AL5G23780","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G24470","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G24470","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G24470","BOR_v1","Family","pm25kb","LTR/Ty3",1
"AL5G24990","BOR_v1","Family","pm25kb","DNA/Helitron",6
"AL5G24990","BOR_v1","Family","pm25kb","LTR/unknown",1
"AL5G25100","BOR_v1","Family","pm25kb","DNA/Helitron",10
"AL5G25100","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",2
"AL5G25100","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G25100","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G25100","BOR_v1","Family","pm25kb","SINE/tRNA",1
"AL5G25230","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G25230","BOR_v1","Family","pm25kb","LTR/Copia",7
"AL5G25230","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G25230","BOR_v1","Family","pm25kb","LTR/Ty3",4
"AL5G25240","BOR_v1","Family","pm25kb","LINE/unknown",1
"AL5G25240","BOR_v1","Family","pm25kb","LTR/Copia",6
"AL5G25240","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G25240","BOR_v1","Family","pm25kb","LTR/Ty3",4
"AL5G25250","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",3
"AL5G25250","BOR_v1","Family","pm25kb","LTR/Copia",4
"AL5G25250","BOR_v1","Family","pm25kb","LTR/Gypsy",4
"AL5G25250","BOR_v1","Family","pm25kb","LTR/Ty3",6
"AL5G25540","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G25540","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",5
"AL5G25540","BOR_v1","Family","pm25kb","LTR/Copia",4
"AL5G25540","BOR_v1","Family","pm25kb","LTR/Ty3",4
"AL5G25550","BOR_v1","Family","pm25kb","DNA/Helitron",1
"AL5G25550","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",5
"AL5G25550","BOR_v1","Family","pm25kb","LINE/L1",1
"AL5G25550","BOR_v1","Family","pm25kb","LTR/Copia",4
"AL5G25550","BOR_v1","Family","pm25kb","LTR/Ty3",5
"AL5G25590","BOR_v1","Family","pm25kb","DNA/MULE-MuDR",4
"AL5G25590","BOR_v1","Family","pm25kb","LINE/L1",2
