"group","window","mean_te_count","mean_te_bp","mean_te_fraction","mean_nearest_te"
"Family","gene_body",0.20858195106632,53.5617380877616,0.01601915209624,3565.25280497895
"Family","pm10kb",9.68447197875924,4475.8405515744,0.210051362133016,717.857624118587
"Family","pm1kb",0.975019270848203,406.891683558393,0.132739802999009,2884.81034630423
"Family","pm25kb",21.4129100408257,10098.6746224343,0.196322369083971,120.858851742951
"Family","pm50kb",40.5787535329888,19274.2970565567,0.189888329787967,10.9810146458471
"Single-copy","gene_body",0.00684931506849315,0.732876712328758,0.000179264317833703,5260.3196347032
"Single-copy","pm10kb",3.99657534246575,1706.45547945205,0.0746421929940783,1088.43150684931
"Single-copy","pm1kb",0.371004566210046,79.9851598173515,0.0196000428320061,4407.90182648402
"Single-copy","pm25kb",10.6826484018265,4896.9303652968,0.0923456413963799,206.87100456621
"Single-copy","pm50kb",22.1518264840183,10432.049086758,0.101220928421344,5.71803652968036
