family_id	final_status	total_n	proportion	family_size
OG0000147	F	25	0.0235626767200754	8
OG0000147	P	410	0.386427898209237	8
OG0000147	U	490	0.461828463713478	8
OG0000150	F	66	0.0653465346534653	8
OG0000150	P	267	0.264356435643564	8
OG0000150	U	677	0.67029702970297	8
OG0000158	P	136	1	1
OG0000159	P	269	1	2
OG0000164	P	814	0.858649789029536	7
OG0000164	U	134	0.141350210970464	7
OG0000166	F	8	0.0294117647058824	2
OG0000166	P	5	0.0183823529411765	2
OG0000166	U	259	0.952205882352941	2
OG0000167	P	142	0.208823529411765	5
OG0000167	U	538	0.791176470588235	5
OG0000170	A	38	0.109195402298851	4
OG0000170	F	2	0.00574712643678161	4
OG0000170	P	94	0.270114942528736	4
OG0000170	U	214	0.614942528735632	4
OG0000182	F	29	0.0438066465256798	5
OG0000182	P	191	0.288519637462236	5
OG0000182	U	442	0.667673716012085	5
OG0000184	F	347	0.217010631644778	10
OG0000184	P	772	0.482801751094434	10
OG0000184	U	480	0.300187617260788	10
OG0000185	F	30	0.0530035335689046	5
OG0000185	P	303	0.535335689045936	5
OG0000185	U	233	0.411660777385159	5
OG0000186	A	94	0.256830601092896	3
OG0000186	P	272	0.743169398907104	3
OG0000188	F	22	0.0404411764705882	4
OG0000188	P	186	0.341911764705882	4
OG0000188	U	336	0.61764705882353	4
OG0000192	F	2	0.00498753117206983	3
OG0000192	P	304	0.758104738154613	3
OG0000192	U	95	0.236907730673317	3
OG0000196	F	3	0.00313479623824451	7
OG0000196	P	91	0.0950888192267503	7
OG0000196	U	863	0.901776384535005	7
OG0000199	F	258	0.128614157527418	11
OG0000199	P	266	0.132602193419741	11
OG0000199	U	1482	0.738783649052841	11
OG0000200	P	96	0.705882352941177	1
OG0000200	U	40	0.294117647058824	1
OG0000202	F	32	0.0470588235294118	5
OG0000202	P	289	0.425	5
OG0000202	U	359	0.527941176470588	5
OG0000205	A	114	0.791666666666667	2
OG0000205	P	30	0.208333333333333	2
OG0000206	A	271	0.197378004369993	9
OG0000206	F	4	0.00291332847778587	9
OG0000206	P	410	0.298616168973052	9
OG0000206	U	688	0.50109249817917	9
OG0000207	F	21	0.0514705882352941	3
OG0000207	P	179	0.438725490196078	3
OG0000207	U	208	0.509803921568627	3
OG0000210	F	7	0.00737618545837724	7
OG0000210	P	664	0.69968387776607	7
OG0000210	U	278	0.292939936775553	7
OG0000213	F	1	0.00105042016806723	7
OG0000213	P	234	0.245798319327731	7
OG0000213	U	717	0.753151260504202	7
OG0000217	P	412	0.762962962962963	4
OG0000217	U	128	0.237037037037037	4
OG0000220	F	123	0.100819672131148	9
OG0000220	P	534	0.437704918032787	9
OG0000220	U	563	0.461475409836066	9
OG0000224	A	76	1	1
OG0000228	P	284	0.676190476190476	4
OG0000228	U	136	0.323809523809524	4
OG0000242	P	269	1	2
OG0000248	F	1	0.00735294117647059	1
OG0000248	P	15	0.110294117647059	1
OG0000248	U	120	0.88235294117647	1
OG0000253	P	13	0.0477941176470588	2
OG0000253	U	259	0.952205882352941	2
OG0000255	P	91	1	1
OG0000258	F	21	0.0772058823529412	2
OG0000258	P	71	0.261029411764706	2
OG0000258	U	180	0.661764705882353	2
OG0000261	F	64	0.0317145688800793	10
OG0000261	P	1292	0.640237859266601	10
OG0000261	U	662	0.32804757185332	10
OG0000264	F	130	0.150462962962963	5
OG0000264	P	256	0.296296296296296	5
OG0000264	U	478	0.553240740740741	5
OG0000266	F	1	0.00240384615384615	4
OG0000266	P	227	0.545673076923077	4
OG0000266	U	188	0.451923076923077	4
OG0000269	A	100	0.0522739153162572	15
OG0000269	F	190	0.0993204391008887	15
OG0000269	P	487	0.254573967590172	15
OG0000269	U	1136	0.593831677992682	15
OG0000271	A	1	0.000826446280991736	8
OG0000271	F	16	0.0132231404958678	8
OG0000271	P	894	0.738842975206612	8
OG0000271	U	299	0.247107438016529	8
