"og","gene","pseu"
"OG0000016","AL1G24080","AL1G24080_NT8_v2_fix_scaffold_1_copy_2"
"OG0000016","AL1G24080","AL1G24080_NT8_v2_fix_scaffold_1_copy_3"
"OG0000016","AL1G24080","AL1G24080_PU6_v3_fin_scaffold_1_copy_1"
"OG0000016","AL1G24080","AL1G24080_TE11_v2_scaffold_1_copy_1"
"OG0000016","AL1G24080","AL1G24080_TE4_v1_scaffold_1_copy_1"
"OG0000016","AL1G24080","AL1G24080_TE8_v1_scaffold_1_copy_1"
"OG0000016","AL1G24080","AL1G24080_WS1_v2_s_scaffold_1_copy_2"
"OG0000016","AL1G24180","AL1G24180_AL27_v1_scaffold_1_copy_2"
"OG0000016","AL1G24180","AL1G24180_KN003hexa_v0_scaffold_1_copy_2"
"OG0000016","AL1G24180","AL1G24180_MN47_mabs_v3_scaffold_1_copy_1"
"OG0000016","AL1G24180","AL1G24180_Nla_scaffold_1_copy_2"
"OG0000016","AL1G24180","AL1G24180_NT1_v2_scaffold_1_copy_1"
"OG0000016","AL1G24180","AL1G24180_WS1_v2_s_scaffold_1_copy_1"
"OG0000016","AL1G24190","AL1G24190_NT9_v2_scaffold_1_copy_1"
"OG0000016","AL1G24190","AL1G24190_TE8_v1_scaffold_1_copy_1"
"OG0000016","AL2G10190","AL2G10190_73_3a_scaffold_2_copy_1"
"OG0000016","AL2G10190","AL2G10190_KN003hexa_v0_scaffold_2_copy_1"
"OG0000016","AL2G10190","AL2G10190_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G10190","AL2G10190_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000016","AL2G11490",NA
"OG0000016","AL2G11830","AL2G11830_NT12_v2_scaffold_2_copy_2"
"OG0000016","AL2G12460","AL2G12460_BAM12_v2_scaffold_2_copy_1"
"OG0000016","AL2G12460","AL2G12460_BAM12_v2_scaffold_2_copy_2"
"OG0000016","AL2G12460","AL2G12460_KN006_v1_scaffold_2_copy_1"
"OG0000016","AL2G12460","AL2G12460_NT8_v2_fix_scaffold_2_copy_2"
"OG0000016","AL2G12460","AL2G12460_WS1_v2_s_scaffold_2_copy_1"
"OG0000016","AL2G12470","AL2G12470_F1-14_scaffold_2_copy_1"
"OG0000016","AL2G12470","AL2G12470_TE8_v1_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_73_3a_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_73_3a_scaffold_2_copy_2"
"OG0000016","AL2G12500","AL2G12500_AL27_v1_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_BAM12_v2_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_BAM12_v2_scaffold_2_copy_2"
"OG0000016","AL2G12500","AL2G12500_F1-14_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_MN47_mabs_v3_scaffold_2_copy_2"
"OG0000016","AL2G12500","AL2G12500_Nla_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_Nla_scaffold_2_copy_2"
"OG0000016","AL2G12500","AL2G12500_NT12_v2_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_NT8_v2_fix_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_NT9_v2_scaffold_6_copy_1"
"OG0000016","AL2G12500","AL2G12500_NT9_v2_scaffold_2_copy_1"
"OG0000016","AL2G12500","AL2G12500_PU6_v3_fin_scaffold_2_copy_1"
