#FamilyID	Likelihood of Family
OG0000510	-15.5914
OG0000511	-13.0238
OG0000512	-12.4809
OG0000513	-30.9903
OG0000514	-19.0128
OG0000515	-19.0128
OG0000516	-19.0128
OG0000517	-19.0128
OG0000518	-7.84473
OG0000519	-7.91129
OG0000520	-11.0923
OG0000521	-9.31606
OG0000522	-8.95688
OG0000523	-10.5309
OG0000524	-13.8656
OG0000525	-14.5735
OG0000526	-23.4896
OG0000527	-8.63582
OG0000528	-10.2304
OG0000529	-9.43941
OG0000530	-8.3294
OG0000531	-9.6897
OG0000532	-8.95688
OG0000533	-8.76743
OG0000534	-16.5765
OG0000535	-16.2714
OG0000536	-7.91129
OG0000537	-8.63582
OG0000538	-14.5168
OG0000539	-8.95688
OG0000540	-13.2469
OG0000541	-12.3103
OG0000542	-8.93966
OG0000543	-13.298
OG0000544	-11.6723
OG0000545	-7.84473
OG0000546	-21.9791
OG0000547	-14.8054
OG0000548	-7.84473
OG0000549	-20.6488
OG0000550	-11.1448
OG0000551	-7.91129
OG0000552	-10.4405
OG0000553	-13.1406
OG0000554	-7.84473
OG0000555	-10.0848
OG0000556	-8.63582
OG0000557	-10.9366
OG0000558	-10.1858
OG0000559	-7.84473
OG0000560	-11.9059
OG0000561	-14.5748
OG0000562	-9.16316
OG0000563	-11.2406
OG0000564	-12.0738
OG0000565	-9.16316
OG0000566	-12.1761
OG0000567	-11.2215
OG0000568	-10.313
OG0000569	-9.75155
OG0000570	-8.15845
OG0000571	-11.7079
OG0000572	-10.9554
OG0000573	-9.6897
OG0000574	-8.91749
OG0000575	-14.2401
OG0000576	-8.93966
OG0000577	-9.6897
OG0000578	-9.16316
OG0000579	-8.3294
OG0000580	-10.9366
OG0000581	-8.26921
OG0000582	-9.964
OG0000583	-8.91749
OG0000584	-35.4707
OG0000585	-43.0564
OG0000586	-13.0089
OG0000587	-8.93966
OG0000588	-10.6823
OG0000589	-23.6152
OG0000590	-46.6869
OG0000591	-18.1981
OG0000592	-11.7558
OG0000593	-38.9915
OG0000594	-27.6152
OG0000595	-35.8904
OG0000596	-11.784
OG0000597	-41.9062
OG0000598	-16.4512
OG0000599	-27.6152
OG0000600	-12.3688
OG0000601	-25.318
OG0000602	-12.5037
OG0000603	-14.5987
OG0000604	-15.1961
OG0000605	-30.405
OG0000606	-17.2135
OG0000607	-17.9745
OG0000608	-17.9745
OG0000609	-17.9745
OG0000610	-17.9745
