Df	SumOfSqs	R2	F	Pr(>F)
Model	1	6417.40314097477	0.863146743504679	958.678721811757	0.001
Residual	152	1017.48923308188	0.136853256495321	NA	NA
Total	153	7434.89237405666	1	NA	NA
