family_id	species	n_assemblies	max_copy	min_copy	median_copy	mean_copy	sd_copy	var_copy	cv	dispersion
OG0000007	AL	21	1	1	1	1	0	0	0	0
OG0000007	AT	133	3	3	3	3	0	0	0	0
OG0000009	AL	21	26	20	22	22.3809523809524	1.5644868320376	2.44761904761905	0.0699026031335949	0.10936170212766
OG0000009	AT	133	31	29	31	30.7067669172932	0.504253947674907	0.254272043745728	0.0164215903625765	0.00828065176742943
OG0000012	AL	21	45	25	34	34.047619047619	5.29600028772838	28.0476190476191	0.155546861597617	0.823776223776224
OG0000012	AT	133	34	25	29	29.218045112782	1.634562057299	2.67179311916154	0.0559435804479586	0.0914432539496873
OG0000015	AL	21	18	9	13	13.6666666666667	2.7264140062238	7.43333333333333	0.199493707772473	0.54390243902439
OG0000015	AT	133	20	13	17	16.6766917293233	1.26460481418799	1.59922533606744	0.0758306764143385	0.0958958384567043
OG0000016	AL	21	57	46	49	50.6190476190476	3.85326083306322	14.8476190476191	0.0761227445854446	0.293320790216369
OG0000016	AT	133	39	27	32	31.8421052631579	2.28248304870455	5.2097288676236	0.071681285827085	0.163611319809667
OG0000022	AL	21	17	14	16	15.5714285714286	1.16496474502144	1.35714285714286	0.0748142496802757	0.0871559633027523
OG0000022	AT	133	16	14	16	15.8721804511278	0.377662945659271	0.142629300524037	0.0237940178932653	0.00898611888663996
OG0000024	AL	21	30	19	26	25.3333333333333	3.21455025366432	10.3333333333333	0.126890141592013	0.407894736842105
OG0000024	AT	133	28	11	15	15.5112781954887	2.65037602064478	7.02449305080884	0.170867673652814	0.452863584952776
OG0000027	AL	21	13	9	12	11.6666666666667	1.23827837473378	1.53333333333333	0.106138146405753	0.131428571428571
OG0000027	AT	133	26	19	22	22.0375939849624	1.22725374026476	1.50615174299385	0.0556890984152895	0.0683446543221365
OG0000029	AL	21	38	17	28	28.8571428571429	3.90238022603788	15.2285714285714	0.135230997932006	0.527722772277228
OG0000029	AT	133	10	6	10	9.54887218045113	0.820810440353274	0.673729778992936	0.0859588886354216	0.0705559532331185
