family_id	assembly	assembly_short	scaffold	gene	copy	copy_rank	copy_id	copy_header	copy_fasta	ref_fasta	step2_status	step2_strand	step2_alignment_score	exo_score	exo_frameshift_ops	exo_strand	exon_count	predicted_cds_len	predicted_protein_len	ref_cds_len	ref_protein_len	protein_len_ratio	internal_stop_count	has_terminal_stop	starts_with_M	frameshift_like_gap_runs	prot_matches	prot_mismatches	prot_gap_columns	prot_percent_identity	prot_ref_coverage	prot_qry_coverage	prot_aligned_columns	structural_status	structural_reason	final_status	final_reason	protein_divergence	divergence_robust_z	popgen_dataset
OG0000009	AL27_v1	AL27_v1	scaffold_5_RagTag	AL5G28540	1		1	AL5G28540_AL27_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3109.0	1952.0	0.0	+	3.0	1308.0	436.0	1338	446	0.9776	0.0	True	False	0.0	384.0	52.0	10.0	88.073	100.0	100.0	446.0	U0	structurally_intact	F	protein_identity_below_90.0	11.927000000000008	-0.3365152505446692	A+F+U
OG0000009	AL27_v1	AL27_v1	scaffold_5_RagTag	AL5G28550	1		1	AL5G28550_AL27_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3263.0	1978.0	0.0	+	3.0	1305.0	435.0	1353	451	0.9645	0.0	False	False	0.0	389.0	46.0	16.0	89.425	100.0	100.0	451.0	U0	structurally_intact	F	protein_identity_below_90.0	10.575000000000005	-0.6064042645778939	A+F+U
OG0000009	AL27_v1	AL27_v1	scaffold_5_RagTag	AL5G28950	1		1	AL5G28950_AL27_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3787.0	2224.0	0.0	+	3.0	1332.0	444.0	1347	449	0.9889	0.0	True	False	0.0	434.0	10.0	5.0	97.748	100.0	100.0	449.0	U0	structurally_intact	U	reference_like_intact	2.251999999999996	-0.346916834880904	A+F+U
OG0000009	AL27_v1	AL27_v1	scaffold_3_RagTag	AL7G51960	1		1	AL7G51960_AL27_v1_scaffold_3_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	4102.0							1503	501													A	no_cds_recovered	A	no_cds_recovered			A+F+U
OG0000009	AL27_v1	AL27_v1	scaffold_8_RagTag	AL8G41770	1		1	AL8G41770_AL27_v1_scaffold_8_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3116.0	2156.0	0.0	-	1.0	1233.0	411.0	1233	411	1.0	0.0	True	True	0.0	410.0	1.0	0.0	99.757	100.0	100.0	411.0	U0	structurally_intact	U	reference_like_intact	0.242999999999995	-0.6772757201645827	A+F+U
OG0000009	ALR	ALR	scaffold_2	AL1G65610	1		1	AL1G65610_ALR_scaffold_2_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3432.0	1652.0	0.0	+	1.0	987.0	329.0	1275	425	0.7741	0.0	False	True	0.0	326.0	3.0	96.0	99.088	100.0	100.0	425.0	U0	structurally_intact	F	protein_length_shift	0.912000000000006	-0.3372499999999921	A+F+U
OG0000009	ALR	ALR	scaffold_5	AL5G15910	1		1	AL5G15910_ALR_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3518.0	2185.0	0.0	+	3.0	1320.0	440.0	1335	445	0.9888	0.0	False	False	0.0	427.0	13.0	5.0	97.045	100.0	100.0	445.0	U0	structurally_intact	U	reference_like_intact	2.9549999999999983	-3.572005072076872	A+F+U
OG0000009	ALR	ALR	scaffold_5	AL5G28540	1		1	AL5G28540_ALR_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3000.0	1929.0	0.0	+	3.0	1308.0	436.0	1338	446	0.9776	0.0	True	False	0.0	381.0	55.0	10.0	87.385	100.0	100.0	446.0	U0	structurally_intact	F	protein_identity_below_90.0	12.614999999999997	0.6744999999999999	A+F+U
OG0000009	ALR	ALR	scaffold_5	AL5G28950	1		1	AL5G28950_ALR_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3779.0	2245.0	0.0	+	3.0	1332.0	444.0	1347	449	0.9889	0.0	True	False	0.0	438.0	6.0	5.0	98.649	100.0	100.0	449.0	U0	structurally_intact	U	reference_like_intact	1.350999999999999	-0.8376108195397627	A+F+U
OG0000009	ALR	ALR	scaffold_5	AL7G51940	1		1	AL7G51940_ALR_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3558.0	1940.0	0.0	+	3.0	1254.0	418.0	1254	418	1.0	0.0	True	True	0.0	386.0	32.0	0.0	92.344	100.0	100.0	418.0	U0	structurally_intact	U	reference_like_intact	7.656000000000006		A+F+U
