"accession","assembly","sample_name","location","latitude","longitude","pop_name","ID","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"GCA_036927255.1","ASM3692725v1","ASM3692725v1","Netherlands",52.24,4.45,"Nok-1",11,10.35,16.65,4.25000000000006,962.1,108,44,23.8,310.2,172.8,274.5,234.2,4.2,0.236999988555908,486.2,19.65,2.05000000000001,17.6,11.7500000000001,8.95000000000005
"GCA_036927265.1","ASM3692726v1","ASM3692726v1","Switzerland",46.21,6.14,"Ge-0",12,11.2500000000001,19.7500000000001,2.75000000000006,1102,114.2,72.2,12.7,317.9,237.9,260.5,265.1,8.8,0.330999994277954,660.7,24.45,-2.24999999999994,26.7,6.95000000000005,7.05000000000001
"GCA_036927275.1","ASM3692727v1","ASM3692727v1","Italy",37.51,15.09,"Ct-1",13,18.55,26.15,11.85,595.7,100.4,7.9,65,284.5,31.8,31.8,235.3,7.3,0.304999995231628,571.9,31.65,7.85000000000002,23.8,13.45,26.15
"GCA_036927285.1","ASM3692728v1","ASM3692728v1","Spain",29.21,-13.48,"Can-0",14,18.55,22.15,15.45,180.7,40.7,0.9,87.4,97.6,3.4,6.1,75.1,1,0.124000000953674,261.5,23.05,14.65,8.4,15.7500000000001,21.55
"GCA_036927355.1","ASM3692735v1","ASM3692735v1","Spain",41.24,-3,"Cant-1",15,11.2500000000001,20.2500000000001,3.55000000000001,566.9,72.1,20.5,34.7,184.8,81.6,88.5,142.8,10.6,0.370000004768372,649.4,27.55,-1.14999999999998,28.7,7.25000000000006,19.85
"GCA_036927365.1","ASM3692736v1","ASM3692736v1","Czech Republic",48.3,19.85,"Blh-1",16,8.95000000000005,18.55,-1.14999999999998,630.5,83.5,30.5,32.5,235.2,99.8,218.6,106.7,9.1,0.301999998092651,764.7,24.35,-5.84999999999997,30.2,17.15,0.550000000000011
"GCA_036927375.1","ASM3692737v1","ASM3692737v1","Ireland",53.87,-9.39,"Bur-0",17,9.45000000000005,13.95,5.25000000000006,1551,179.5,85.7,26.3,519.2,269.8,285.6,481.3,5.3,0.360999989509583,345.1,17.2500000000001,2.55000000000001,14.7,5.95000000000005,12.7500000000001
"GCA_036927385.1","ASM3692738v1","ASM3692738v1","Germany",49.95,11.57,"Bay-0",18,8.65000000000003,17.55,-0.349999999999966,853.6,87.3,49.7,13.5,237.5,179.6,230,225.3,7.4,0.28199999332428,694.7,22.7500000000001,-3.54999999999995,26.3,0.850000000000023,4.35000000000002
"GCA_036927435.1","ASM3692743v1","ASM3692743v1","Portugal",32.74,-16.93,"Are-10",19,11.85,17.85,7.75000000000006,2506.3,429.1,21.7,60.7,1072.8,117.1,190.9,1028.3,3.7,0.225,413.3,22.15,5.95000000000005,16.2,8.65000000000003,17.7500000000001
"GCA_036927455.1","ASM3692745v1","ASM3692745v1","Portugal",32.74,-16.93,"Are-6",20,11.85,17.85,7.75000000000006,2506.3,429.1,21.7,60.7,1072.8,117.1,190.9,1028.3,3.7,0.225,413.3,22.15,5.95000000000005,16.2,8.65000000000003,17.7500000000001
"GCA_036927475.1","ASM3692747v1","ASM3692747v1","Portugal",32.74,-16.93,"Are-2",21,11.85,17.85,7.75000000000006,2506.3,429.1,21.7,60.7,1072.8,117.1,190.9,1028.3,3.7,0.225,413.3,22.15,5.95000000000005,16.2,8.65000000000003,17.7500000000001
"GCA_036927485.1","ASM3692748v1","ASM3692748v1","Iran",37.5,49.37,"Anz-0",22,16.7500000000001,25.05,8.65000000000003,1275.7,211.6,37,52.7,561.4,127.1,157.4,287.6,3,0.144000005722046,651.1,27.2500000000001,6.15000000000003,21.1,19.15,22.45
"GCA_036927505.1","ASM3692750v1","ASM3692750v1","Armenia",40.14,44.82,"Geg-14",23,6.45000000000005,17.95,-5.64999999999998,724.4,102.4,26.4,37.4,274,100.2,142.9,158.7,10,0.28199999332428,918.2,24.2500000000001,-11.2499999999999,35.5,5.35000000000002,17.65
"GCA_036936705.1","ASM3693670v1","ASM3693670v1","Germany",50.28,8.36,"Db-1",24,8.15000000000003,15.95,0.550000000000011,846.1,80,54,9.9,231.4,184.5,224.2,210.1,7.5,0.315000009536743,598.6,21.05,-2.64999999999998,23.7,14.45,3.95000000000005
"GCA_036936715.1","ASM3693671v1","ASM3693671v1","Estonia",59.45,24.76,"Est-0",25,6.05000000000001,16.2500000000001,-3.34999999999997,670.4,81.7,30.4,31.8,226.7,100.4,215.7,141.6,5.3,0.187999999523163,767.8,20.95,-7.34999999999997,28.3,11.7500000000001,4.45000000000005
"GCA_036936845.1","ASM3693684v1","ASM3693684v1","India",34.2,76.83,"Kas-1",26,-4.64999999999998,8.55000000000001,-16.35,525.1,63.9,18.9,30.5,176.1,77,133.4,143.2,11.2,0.290000009536743,962.1,14.85,-23.65,38.5,-11.55,-9.84999999999997
"GCA_036936885.1","ASM3693688v1","ASM3693688v1","Poland",52.24,21.01,"Mh-0",27,8.45000000000005,17.95,-1.04999999999995,579.7,78.5,30.2,34.4,221.5,97,221.5,104.6,7.3,0.263000011444092,741.1,23.35,-4.24999999999994,27.6,17.95,0.0500000000000114
"GCA_036936895.1","ASM3693689v1","ASM3693689v1","Italy",44.5,9.5,"Mr-0",28,7.85000000000002,15.65,0.650000000000034,1545.4,217,58.1,35.9,581.5,248.2,248.2,357,6.7,0.292000007629395,584.3,19.85,-3.14999999999998,23,8.65000000000003,15.65
"GCA_036936905.1","ASM3693690v1","ASM3693690v1","Russia",55.78,37.62,"Ms-0",29,5.25000000000006,17.45,-7.04999999999995,717.3,86.2,35.5,29.5,251.2,113.1,251.2,146.7,6.9,0.203999996185303,958,22.95,-10.95,33.9,17.45,-1.14999999999998
"GCA_036936915.1","ASM3693691v1","ASM3693691v1","Portugal",40.23,-8.43,"Co-4",30,15.35,21.05,9.85000000000002,979.8,149.4,13.4,52.8,399.8,65.4,84.4,365.9,10.1,0.428000020980835,435.3,28.45,4.75000000000006,23.7,13.05,20.95
"GCA_036936945.1","ASM3693694v1","ASM3693694v1","Estonia",58.3,25.3,"Est-1",31,5.85000000000002,16.15,-3.94999999999999,817.5,95,38.4,28.4,272.9,129,272.9,176.1,6.6,0.225,784.6,21.35,-7.94999999999999,29.3,16.15,-0.149999999999977
"GCA_036936955.1","ASM3693695v1","ASM3693695v1","Lebanon",33.92,35.7,"Had-6b",32,14.15,21.85,6.15000000000003,1217.2,277,1.3,96.7,721,6.8,9.6,721,9.3,0.35699999332428,620.2,27.05,1.15000000000003,25.9,6.15000000000003,21.65
"GCA_036937005.1","ASM3693700v1","ASM3693700v1","Japan",34.51,133.36,"Hiroshima",33,17.05,27.05,7.35000000000002,1297.4,205.1,34.6,51.3,548.8,130,457,130,7.2,0.246000003814697,770.2,31.2500000000001,1.95000000000005,29.3,23.55,7.35000000000002
"GCA_036937185.1","ASM3693718v1","ASM3693718v1","Japan",36.66,136.65,"Ishikawa",34,15.05,25.45,5.05000000000001,2516.7,291.9,140.7,24.8,852.7,463.8,636,761,6.5,0.214000010490418,802.2,29.95,-0.449999999999989,30.4,7.55000000000001,12.65
"GCA_036937335.1","ASM3693733v1","ASM3693733v1","Kyrgyzstan",40.05,72.6,"Kyr-1",35,2.65000000000003,12.55,-7.44999999999999,567.8,84.6,21.6,41.1,229.2,91,148.1,102.5,7.5,0.251999998092651,769.9,17.65,-12.15,29.8,7.25000000000006,7.85000000000002
"GCA_036937385.1","ASM3693738v1","ASM3693738v1","Russia",51.75,80.83,"Nov-02",36,3.65000000000003,19.65,-13.2499999999999,333.2,55.5,14.7,39.8,127.9,47.1,127.9,51.4,9.5,0.217000007629395,1286.5,25.7500000000001,-18.05,43.8,19.65,-11.2499999999999
"GCA_036937455.1","ASM3693745v1","ASM3693745v1","United Kingdom",57.15,-2.22,"Abd-0",37,8.25000000000006,12.95,4.25000000000006,1010.7,119,69.1,18.8,324.1,212.8,239.3,251.5,4.1,0.297000002861023,346.5,15.35,1.55000000000001,13.8,6.85000000000002,8.85000000000002
"GCA_036937465.1","ASM3693746v1","ASM3693746v1","Russia",56.27,34.33,"Rld-2",38,5.15000000000003,16.7500000000001,-6.54999999999995,666.3,84.9,31.8,35.8,252.2,96.1,252.2,115.5,6.6,0.202999997138977,908,21.95,-10.45,32.4,16.7500000000001,-0.849999999999966
"GCA_036937475.1","ASM3693747v1","ASM3693747v1","China",47.76,88.4,"Altai-5",39,3.05000000000001,19.15,-14.35,406.1,64.7,15.2,37.9,151.9,59,151.9,74.1,11.9,0.26800000667572,1311.2,25.2500000000001,-19.25,44.5,19.15,-11.45
"GCA_036937505.1","ASM3693750v1","ASM3693750v1","Kyrgyzstan",42.3,74.37,"Kar-1",40,0.250000000000057,11.55,-11.95,500.9,68.8,20.9,38.1,194.3,74,159.6,74,9.1,0.269000005722046,916.3,16.15,-17.55,33.7,9.65000000000003,-11.95
"GCA_036937515.1","ASM3693751v1","ASM3693751v1","USA",41.56,-86.43,"RRS10",41,10.2500000000001,22.15,-2.34999999999997,1074.2,119,60.5,21.9,343.5,189.1,338.2,195.4,9.1,0.254999995231628,942.5,28.15,-7.44999999999999,35.6,20.05,-0.749999999999943
"GCA_036937805.1","ASM3693780v1","ASM3693780v1","Ukraine",50.47,30.52,"Rubezhnoe-1",42,8.25000000000006,19.45,-3.14999999999998,618.6,83.4,33.5,30,222.9,105.1,222.9,114.3,7.1,0.229999995231628,886.6,24.55,-6.24999999999994,30.8,19.45,-1.74999999999994
"GCA_036937815.1","ASM3693781v1","ASM3693781v1","Kyrgyzstan",42.19,73.41,"Sus-1",43,1.15000000000003,11.35,-9.64999999999998,667.8,90.4,32.8,33,246,111.9,196.9,111.9,8.3,0.270000004768372,815.2,16.45,-14.15,30.6,6.15000000000003,-9.64999999999998
"GCA_036937985.1","ASM3693798v1","ASM3693798v1","Spain",40.44,-3.7,"Sah-0",44,14.45,24.2500000000001,5.95000000000005,425.8,57.5,10.3,46.2,169,42.9,42.9,124.4,11.4,0.364000010490418,711.4,31.65,0.350000000000023,31.3,9.95000000000005,24.2500000000001
