Population_name	Comments	latitude	longitude	Ploidy	Species	Population	OG0000007	OG0000009	OG0000012	OG0000015	OG0000016	OG0000022	OG0000024	OG0000027	OG0000029	OG0000030	OG0000038	OG0000039	OG0000040	OG0000042	OG0000045	OG0000046	OG0000047	OG0000049	OG0000054	OG0000060	OG0000065	OG0000075	OG0000077	OG0000083	OG0000086	OG0000087	OG0000090	OG0000093	OG0000095	OG0000096	OG0000100	OG0000103	OG0000106	OG0000107	OG0000118	OG0000126	OG0000141	OG0000142	OG0000147	OG0000150	OG0000158	OG0000159	OG0000164	OG0000166	OG0000167	OG0000170	OG0000182	OG0000184	OG0000185	OG0000186	OG0000188	OG0000192	OG0000196	OG0000199	OG0000200	OG0000202	OG0000206	OG0000207	OG0000210	OG0000213	OG0000217	OG0000220	OG0000224	OG0000228	OG0000242	OG0000253	OG0000255	OG0000258	OG0000261	OG0000264	OG0000266	OG0000269	OG0000271	OG0000272	OG0000276	OG0000297	OG0000298	OG0000299	OG0000319	OG0000320	OG0000325	OG0000329	OG0000338	OG0000339	OG0000343	OG0000347	OG0000348	OG0000360	OG0000361	OG0000367	OG0000372	OG0000375	OG0000382	OG0000384	OG0000385	OG0000386	OG0000388	OG0000402	OG0000418	OG0000419	OG0000422	OG0000432	OG0000434	OG0000440	OG0000442	OG0000445	OG0000448	OG0000452	OG0000453	OG0000473	OG0000496	OG0000500	OG0000501	OG0000503	OG0000504	OG0000510	OG0000513	OG0000534	OG0000535	OG0000546	OG0000549	OG0000589	OG0000591	OG0000594	OG0000598	OG0000599	OG0000601	OG0000605	OG0000606	OG0000618	OG0000620	OG0000621	OG0000639	OG0000679	OG0000692	OG0000712	OG0000720	OG0000724	OG0000725	OG0000728	OG0000731	OG0000736	OG0000739	OG0000761	OG0000792	OG0000817	OG0000822	OG0000846	OG0000857	OG0000865	OG0000887	OG0000893	OG0000907	OG0000913	OG0000929	OG0000949	OG0000962	OG0001007	OG0001019	OG0001038	OG0001079	OG0001115	OG0001127	OG0001132	OG0001135	OG0001136	OG0001139	OG0001188	OG0001196	OG0001202	OG0001262	OG0001318	OG0001336	OG0001349	OG0001363	OG0001392	OG0001395	OG0001398	OG0001400	OG0001401	OG0001408	OG0001411	OG0001412	OG0001688	OG0001769	OG0001813	OG0001820	OG0001841	OG0001885	OG0001893	OG0001901	OG0001911	OG0001918	OG0001923	OG0001927	OG0001928	OG0001929	OG0002178	OG0002370	OG0002564	OG0002742	OG0002810	OG0002829	OG0002867	OG0002883	OG0002891	OG0002892	OG0002893	OG0002919	OG0003409	OG0003680	OG0003687	OG0003691	OG0003730	OG0003767	OG0003807	OG0003808	OG0003820	OG0004081	OG0004132	OG0004303	OG0004694	OG0004872	OG0005764	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	cec_0.5cm_Q0.5_250m	cec_5.15cm_Q0.5_250m	phh2o_0.5cm_Q0.5_250m	phh2o_5.15cm_Q0.5_250m	soc_0.5cm_Q0.5_250m	soc_5.15cm_Q0.5_250m	PC1	PC2	busco_complete_pct	busco_duplicated_pct	contig_n50_mbp	total_length_bp	te_int_frac
BOR	outcrosser	50.5148073	13.98865535	2	A.lyrata	Western_Europe_2n	1	22	34	10	49	14	27	12	29	12	1	19	11	16	5	16	12	24	10	30	7	1	7	2	4	6	7	1	2	3	1	5	17	17	3	8	2	4	8	12	1	7	8	19	7	162	19	17	6	2	17	2	4	15	19	2	6	10	3	7	10	11	2	3	8	8	18	14	5	12	6	1	3	1	4	2	5	12	1	2	4	0	14	9	6	29	4	7	11	4	5	1	8	33	1	12	6	2	3	3	5	1	8	10	1	2	9	0	1	1	2	2	8	2	1	4	10	1	6	4	5	3	6	13	8	11	1	11	7	1	4	2	7	2	5	7	15	4	4	2	5	1	6	6	2	6	8	4	2	13	2	10	6	5	5	8	4	5	2	1	1	7	10	11	6	6	4	3	2	4	7	16	4	3	1	7	3	0	3	4	2	3	7	1	2	6	1	8	1	1	6	10	5	6	4	5	10	6	5	0	2	3	1	6	1	4	4	4	4	5	1	6	4	1	4	5	4	3	5	5	4	5	5	4	8.35000000000002	8.2	0.300999999046326	699.9	22.85	-4.24999999999994	27.1	17.35	0.650000000000034	17.35	-0.549999999999955	612	87.6	30.7	35.2	233.1	104.6	233.1	107.4	16	15	5.7	5.8	27.6	17.9	2.97547075872549	-2.80931679236752	99.6	1.5	24	191474027	0.181783704794593
MN47	selfer	43	-84	2	A.lyrata	North_American_2n	1	26	28	18	56	17	28	13	38	11	2	17	15	21	6	18	16	26	11	29	11	1	7	3	3	9	8	3	2	3	1	7	21	21	6	10	2	4	11	12	1	11	9	23	7	261	21	12	6	2	20	2	4	21	20	3	8	16	3	8	12	11	3	3	12	9	95	14	6	9	9	2	3	1	10	3	5	15	2	2	4	1	14	11	10	36	5	8	13	5	5	1	8	61	1	11	10	12	4	3	8	1	8	13	1	2	9	1	1	1	2	2	10	2	3	4	11	1	7	7	6	4	6	15	8	30	1	13	8	1	8	2	5	2	5	7	46	8	9	3	5	1	7	6	2	10	8	4	2	34	7	9	9	8	8	8	4	12	2	1	3	7	11	19	8	6	8	6	2	4	7	15	6	3	2	8	3	2	6	5	6	7	10	2	4	6	1	7	1	1	7	10	7	6	7	5	13	5	7	1	3	6	1	6	1	8	4	6	6	12	1	6	6	1	5	5	6	5	5	5	4	6	5	4	9.05000000000001	9.2	0.254999995231628	930.2	27.45	-8.74999999999994	36.2	19.7500000000001	-3.14999999999998	20.85	-3.14999999999998	867	98.9	44.1	25.2	269.2	141.9	257.6	141.9	21.3	17.6	6.7	6.8	31.8	21.1	3.38260798384455	4.35967326828989	99.6	2	23	206006631	0.208445934246474
KN005	selfer	42.5797	-80.3875	2	A.lyrata	North_American_2n	1	22	45	17	46	16	26	12	33	11	1	19	14	19	5	18	15	25	10	28	11	1	6	2	3	7	8	3	1	3	1	7	19	18	4	10	1	4	11	12	1	7	9	22	7	246	22	14	7	2	20	2	4	20	16	3	5	16	3	8	12	10	3	3	12	9	74	14	6	9	5	2	3	1	10	3	5	14	2	2	4	0	13	10	6	27	5	8	13	5	5	1	8	36	1	11	10	10	4	3	8	2	8	10	1	1	6	0	1	1	2	2	7	2	2	4	11	1	7	7	5	4	6	11	9	25	1	12	7	0	4	2	7	1	5	7	36	8	6	3	5	1	7	7	2	10	9	4	2	29	5	9	6	7	9	8	4	11	2	1	1	7	8	11	5	6	7	5	2	4	7	9	6	3	1	8	3	2	3	5	6	9	6	2	4	6	1	5	1	1	7	10	7	5	5	5	12	5	7	1	3	6	1	6	1	4	4	5	6	9	1	6	5	1	5	5	6	6	5	5	4	6	4	4	9.35000000000002	4.5	0.139999997615814	979.4	25.55	-6.54999999999995	32.1	11.95	-2.84999999999997	21.95	-2.84999999999997	1137.3	111.3	72	12.2	321.5	234.9	291.1	234.9	16.1	13	7.2	7.2	27.8	19.4	3.65979748733489	4.86208118637084	99.5	1.8	23	194812019	0.205001432688812
AL27	outcrosser	48.07955	16.2671778	4	A.lyrata	Western_Europe_4n	1	21	35	9	50	14	28	13	31	11	1	17	12	15	5	17	15	24	10	29	8	1	7	2	3	7	6	1	2	3	1	6	19	16	1	10	2	3	6	12	1	8	8	21	7	148	20	15	5	2	17	2	4	18	18	1	6	10	3	7	11	11	3	2	10	8	72	13	5	11	5	1	3	1	10	2	5	12	2	1	4	0	14	11	11	33	3	7	11	4	5	1	8	40	1	11	9	2	3	3	5	1	8	7	1	1	7	0	1	1	2	2	9	2	1	2	11	1	7	6	6	3	6	11	8	21	1	11	7	1	4	1	7	1	5	7	10	5	4	3	5	1	7	4	2	6	8	4	2	12	4	11	6	6	5	7	4	6	2	1	0	7	3	14	6	6	6	5	1	4	6	11	4	3	2	7	3	0	3	5	2	5	7	1	3	5	1	6	1	1	5	10	7	7	4	5	14	5	6	0	3	4	1	6	1	5	4	3	4	7	1	6	3	1	4	5	5	3	5	4	3	5	5	4	9.85000000000002	8.1	0.285999989509583	736.4	24.65	-3.84999999999997	28.5	19.2500000000001	0.250000000000057	19.2500000000001	0.250000000000057	735.5	85.5	38	28.5	252.8	129.2	252.8	129.2	19.6	15.8	5.6	5.6	30.4	19.9	2.78037747174981	-2.77390300676655	99.4	1.5	23	189131157	0.181392677674996
KN006	outcrosser	45.1925	-81.5839	2	A.lyrata	North_American_2n	1	23	33	18	57	16	29	12	33	11	2	18	13	21	5	18	16	26	10	29	11	1	7	2	3	9	7	3	2	3	1	7	19	19	6	9	2	4	11	12	1	7	9	24	7	299	16	11	7	2	20	2	4	18	17	3	6	19	3	8	9	12	3	3	12	9	75	14	6	9	6	2	3	1	10	3	5	13	2	1	3	0	14	10	7	39	5	7	12	4	5	1	7	49	1	11	10	10	4	3	7	1	8	12	1	2	9	1	1	1	2	2	9	2	3	4	11	1	7	7	6	4	6	17	7	23	1	13	8	0	8	2	6	2	5	7	46	8	7	3	5	1	7	6	2	10	9	4	2	22	5	8	6	8	9	8	4	11	2	1	2	7	11	9	5	2	8	5	2	4	7	10	6	3	1	8	3	2	3	4	5	7	10	1	4	6	1	5	1	1	7	10	7	5	5	5	15	4	7	1	3	6	1	6	1	6	4	6	7	9	1	6	5	1	5	5	6	6	5	5	4	5	5	4	6.45000000000005	3.8	0.119000005722046	943.3	22.05	-9.64999999999998	31.7	4.85000000000002	13.35	18.95	-5.64999999999998	1015.6	115.4	60.7	23.5	334	200.6	239.3	233.4	18.4	15.4	5.7	6	47	26.4	3.850462431263	4.99310990805117	99.5	1.9	16	206016960	0.215191433753804
al1	outcrosser	69.13	94.04	4	A.lyrata	Central_Siberian_4n	1	21	38	13	47	17	24	10	17	11	2	15	12	15	5	16	15	23	9	25	8	1	6	1	3	8	8	1	2	2	1	5	16	12	1	10	2	4	7	11	1	8	8	20	7	145	17	16	3	1	18	2	4	20	18	1	6	9	2	8	9	12	3	2	9	8	33	11	5	10	4	1	3	1	11	2	5	12	2	1	4	1	13	10	5	36	3	7	9	4	5	1	8	16	1	10	13	5	3	3	8	1	8	10	1	2	9	0	1	1	2	2	10	2	1	2	10	1	7	4	6	3	6	9	8	21	1	11	8	1	5	0	6	1	5	7	11	8	4	2	4	1	7	4	2	10	8	4	2	27	5	8	6	6	7	9	4	5	2	1	1	7	1	14	5	5	5	4	1	4	7	9	4	3	2	7	3	1	3	5	5	4	7	2	3	6	1	6	1	1	6	10	5	6	8	5	14	5	5	0	3	4	1	5	1	3	4	4	4	5	1	4	5	1	5	5	4	4	5	5	4	5	0	3	-12.2499999999999	5.4	0.110000002384186	1586.7	14.95	-34.15	49.1	9.35000000000002	-28.75	9.35000000000002	-30.95	503.5	92.4	16	60.1	240.1	55.2	240.1	58.3	47	19.8	5	5.2	93	50.9	-4.1295485918839	-0.904099275313818	98.8	2.8	13	209641546	0.210931420053542
WS1	outcrosser	66.53735	34.50509	4	A.lyrata	East_European_4n	1	21	25	13	47	16	25	11	28	12	2	14	12	17	6	16	15	23	7	20	9	1	7	2	3	8	8	2	2	2	1	6	16	12	1	10	1	4	8	11	1	6	8	9	6	135	17	15	5	1	16	2	4	16	18	3	6	10	2	8	10	10	3	3	10	9	76	12	5	8	4	2	3	1	10	2	5	11	2	2	4	1	13	9	11	38	5	7	10	4	5	1	7	23	1	10	12	5	1	3	5	1	6	12	1	2	10	0	1	1	1	0	10	1	2	2	8	1	6	6	5	2	6	5	8	28	1	12	8	1	5	2	7	1	4	7	12	6	4	2	5	1	6	5	2	7	8	4	2	11	2	9	6	6	6	9	4	9	2	1	1	7	10	17	6	5	6	5	2	4	7	16	4	3	1	7	3	0	4	5	7	3	5	1	4	6	1	9	1	1	6	9	6	7	5	5	0	3	3	0	3	5	1	6	1	3	4	6	5	5	1	3	5	1	4	5	6	2	4	5	4	5	3	3	1.15000000000003	3.4	0.141999995708466	700.1	14.2500000000001	-9.34999999999997	23.6	10.35	-4.44999999999999	10.7500000000001	-7.14999999999998	700.6	84.4	35.1	27.8	233.2	107.2	224.2	138.5	NA	NA	NA	NA	NA	NA	-3.19790303572896	-0.707177439725375	97.6	2.5	12	203998102	0.208082568336837
KN003	selfer	41.9278	-82.5142	2	A.lyrata	North_American_2n	1	24	41	16	47	16	29	12	30	12	1	18	12	18	6	17	12	25	9	26	9	1	6	1	3	9	8	2	2	3	1	7	21	18	4	10	1	4	11	12	1	10	9	24	7	304	22	14	6	2	20	2	4	17	15	3	5	13	3	8	11	11	3	3	12	9	62	13	6	9	5	2	3	1	11	3	5	14	2	2	4	0	14	11	7	19	5	8	13	5	5	1	7	43	0	11	9	8	4	3	8	1	7	12	1	0	9	1	1	1	2	2	10	2	2	3	10	1	7	6	6	3	6	11	8	27	1	12	8	1	6	2	5	1	5	7	24	8	7	3	4	1	7	6	2	9	9	4	2	31	5	8	8	7	9	7	4	13	2	1	3	7	8	16	6	6	6	5	2	4	7	12	6	3	1	8	3	2	6	5	7	8	8	2	4	6	1	7	1	1	7	12	7	5	5	5	9	5	6	1	3	6	1	6	1	6	4	6	6	9	1	6	5	1	5	5	6	6	5	4	4	6	5	4	10.15	4.1	0.128999996185303	1011.8	26.35	-5.64999999999998	32	22.15	-2.54999999999995	22.95	-2.54999999999995	1027.9	102.7	63.3	14.6	293.6	200.9	285.6	200.9	NA	NA	NA	NA	NA	NA	3.62540566196703	4.65761573096194	99.4	2.2	21	197866433	0.206453274467226
73_3a	outcrosser	49.65	11.45	2	A.lyrata	Plech	1	20	39	11	49	15	23	13	26	11	2	16	12	15	5	17	16	24	8	26	7	1	6	3	3	8	7	1	2	3	1	5	19	16	2	10	2	4	7	12	1	8	8	16	7	138	22	17	6	2	19	2	4	17	19	3	6	11	3	6	9	10	3	2	10	8	3	15	5	10	4	2	3	1	7	2	5	11	1	1	4	0	14	11	7	20	5	6	11	4	5	1	8	16	1	10	10	2	3	3	5	1	6	11	1	2	8	1	1	1	2	2	7	2	2	4	10	1	7	6	6	2	6	6	8	15	1	11	7	1	6	2	7	2	4	7	11	5	5	2	5	1	7	7	2	9	7	4	2	12	4	10	5	5	6	8	4	5	2	1	1	7	9	13	5	6	6	5	2	4	7	12	4	3	2	7	3	1	4	5	5	5	6	1	3	6	1	5	1	1	6	10	7	6	3	5	9	6	6	0	2	4	1	6	1	2	4	3	4	5	1	6	4	1	3	5	4	1	5	5	4	5	4	4	8.25000000000006	7.6	0.296000003814697	664.8	22.05	-3.44999999999999	25.5	15.35	3.85000000000002	16.85	-0.249999999999943	998.9	98.6	60.7	12	273.4	213.7	268.3	259.6	29	19	5.8	6	31.1	26.4	3.06637222577313	-3.39221615901153	99.6	7.7	14	205291954	0.183266378769038
ALR	outcrosser	49.65	11.45	2	A.lyrata	Plech	1	21	33	13	46	16	27	12	30	11	2	18	11	16	4	16	16	24	7	28	9	1	6	1	3	7	8	2	0	2	1	5	18	15	1	10	2	4	8	12	1	9	8	20	7	129	20	17	5	2	18	2	4	15	20	3	5	11	3	6	9	11	3	2	11	8	24	14	5	11	4	1	3	1	5	2	5	14	2	1	4	0	14	9	8	32	4	7	11	4	5	1	8	19	1	11	6	2	3	3	5	1	8	8	1	2	8	0	1	1	2	2	8	2	1	3	11	1	6	4	6	4	6	8	8	11	1	11	8	1	4	2	7	2	5	7	17	4	6	3	5	0	7	6	2	8	8	4	2	12	4	8	5	5	7	8	4	5	2	0	2	7	11	18	6	6	6	5	2	4	7	14	4	3	2	7	3	0	4	5	2	4	7	1	2	5	1	4	1	1	5	10	6	6	3	5	6	6	6	1	3	4	1	6	1	2	4	4	5	4	1	6	4	1	3	5	3	2	4	5	4	5	5	4	8.25000000000006	7.6	0.296000003814697	664.8	22.05	-3.44999999999999	25.5	15.35	3.85000000000002	16.85	-0.249999999999943	998.9	98.6	60.7	12	273.4	213.7	268.3	259.6	29	19	5.8	6	31.1	26.4	3.05126066632173	-3.15883634166552	99.4	5.3	8	203735295	0.188330333239511
NLA	outcrosser	49.65	11.45	2	A.lyrata	Plech	1	21	38	11	49	14	19	13	28	10	1	17	9	14	6	16	13	24	8	30	8	1	6	3	3	7	6	1	2	2	1	4	20	15	2	9	2	3	7	12	1	7	8	16	7	138	19	15	6	2	16	2	4	17	13	3	6	12	3	7	12	10	1	2	10	7	56	15	5	11	4	2	4	1	6	2	5	13	2	1	4	0	14	8	5	24	4	7	11	4	5	1	8	25	1	9	7	2	3	3	3	1	8	10	1	2	9	1	1	1	2	2	9	2	1	4	10	1	6	6	6	1	6	9	8	12	1	12	8	1	5	1	7	2	4	7	20	4	5	2	5	1	7	7	2	10	8	4	2	17	2	11	6	5	8	8	4	7	2	0	0	8	10	15	7	6	6	5	1	4	7	12	4	3	2	8	3	1	3	5	3	4	7	2	2	6	1	5	1	0	5	10	6	6	4	5	10	5	6	1	3	4	1	6	1	4	4	4	3	8	1	6	3	1	3	5	4	2	5	5	4	5	5	4	8.25000000000006	7.6	0.296000003814697	664.8	22.05	-3.44999999999999	25.5	15.35	3.85000000000002	16.85	-0.249999999999943	998.9	98.6	60.7	12	273.4	213.7	268.3	259.6	29	19	5.8	6	31.1	26.4	3.09283028495031	-3.23392118069243	99.6	4.8	2	198712493	0.185545757306764
F1_14	outcrosser	49.65	11.45	2	A.lyrata	Plech	1	21	35	14	57	15	21	13	28	9	2	17	12	16	5	17	14	23	9	27	9	1	6	2	3	6	8	1	2	3	1	4	17	18	2	9	2	4	5	12	1	9	8	17	7	150	20	16	5	2	18	2	4	14	19	3	6	8	3	7	13	11	1	1	13	6	33	14	6	10	5	2	3	1	6	2	5	12	2	2	4	0	13	11	6	37	5	7	11	3	5	1	8	26	1	11	8	8	3	3	10	1	8	7	1	2	6	0	1	1	2	2	9	2	1	3	11	1	2	4	6	2	6	10	7	12	1	11	8	1	7	2	7	1	5	7	14	3	5	1	5	1	7	5	2	10	9	4	2	18	2	9	5	4	9	8	3	4	2	1	1	7	7	13	6	6	7	5	1	4	7	16	4	3	1	8	3	1	3	5	4	5	7	2	2	4	1	8	1	1	5	10	6	6	3	5	4	5	4	0	3	4	1	6	1	1	4	4	5	4	1	6	3	1	3	5	5	5	5	4	4	5	4	4	8.25000000000006	7.6	0.296000003814697	664.8	22.05	-3.44999999999999	25.5	15.35	3.85000000000002	16.85	-0.249999999999943	998.9	98.6	60.7	12	273.4	213.7	268.3	259.6	29	19	5.8	6	31.1	26.4	3.12694368417037	-3.00607347137851	98.9	12.6	0.7	200460221	0.174148941739157
