Population_name,latitude,longitude,PC1,PC2,busco_complete_pct,contig_n50_mbp,total_length_mbp,OG0000009,OG0000012,OG0000015,OG0000016,OG0000022,OG0000024,OG0000027,OG0000029,OG0000030,OG0000038,OG0000039,OG0000040,OG0000042,OG0000045,OG0000046,OG0000047,OG0000049,OG0000054,OG0000060,OG0000065,OG0000075,OG0000077,OG0000083,OG0000086,OG0000087,OG0000090,OG0000093,OG0000095,OG0000096,OG0000103,OG0000106,OG0000107,OG0000118,OG0000126,OG0000141,OG0000142,OG0000147,OG0000150,OG0000159,OG0000164,OG0000166,OG0000167,OG0000170,OG0000182,OG0000184,OG0000185,OG0000186,OG0000188,OG0000192,OG0000196,OG0000199,OG0000200,OG0000202,OG0000206,OG0000207,OG0000210,OG0000213,OG0000217,OG0000220,OG0000224,OG0000228,OG0000242,OG0000253,OG0000255,OG0000258,OG0000261,OG0000264,OG0000266,OG0000269,OG0000271,OG0000276,OG0000297,OG0000299,OG0000319,OG0000320,OG0000325,OG0000329,OG0000338,OG0000339,OG0000343,OG0000347,OG0000348,OG0000360,OG0000361,OG0000367,OG0000372,OG0000382,OG0000384,OG0000385,OG0000386,OG0000388,OG0000402,OG0000418,OG0000422,OG0000432,OG0000434,OG0000440,OG0000445,OG0000448,OG0000452,OG0000496,OG0000500,OG0000501,OG0000503,OG0000504,OG0000510,OG0000513,OG0000535,OG0000546,OG0000549,OG0000589,OG0000591,OG0000594,OG0000598,OG0000599,OG0000601,OG0000605,OG0000606,OG0000618,OG0000620,OG0000621,OG0000639,OG0000679,OG0000692,OG0000712,OG0000720,OG0000724,OG0000725,OG0000728,OG0000731,OG0000736,OG0000739,OG0000761,OG0000817,OG0000822,OG0000846,OG0000865,OG0000887,OG0000893,OG0000907,OG0000913,OG0000929,OG0000949,OG0000962,OG0001007,OG0001038,OG0001079,OG0001115,OG0001127,OG0001132,OG0001135,OG0001136,OG0001139,OG0001188,OG0001196,OG0001262,OG0001318,OG0001336,OG0001349,OG0001363,OG0001392,OG0001398,OG0001400,OG0001401,OG0001408,OG0001411,OG0001412,OG0001688,OG0001769,OG0001813,OG0001841,OG0001893,OG0001901,OG0001911,OG0001918,OG0001923,OG0001927,OG0001929,OG0002178,OG0002370,OG0002564,OG0002742,OG0002810,OG0002867,OG0002883,OG0002891,OG0002892,OG0002893,OG0002919,OG0003409,OG0003687,OG0003691,OG0003767,OG0003808,OG0003820,OG0004081,OG0004132,OG0004303,OG0004694,OG0004872,OG0005764,soc_0_5cm,soc_5_15cm,cec_5_15cm,pH_0_5cm,bio2,bio5,bio7,bio8,bio18,te_int_frac
MN47,43,-84,3.382607984,4.359673268,99.6,23,206.006631,26,28,18,56,17,28,13,38,11,2,17,15,21,6,18,16,26,11,29,11,1,7,3,3,9,8,3,2,3,7,21,21,6,10,2,4,11,12,11,9,23,7,261,21,12,6,2,20,2,4,21,20,3,8,16,3,8,12,11,3,3,12,9,95,14,6,9,9,2,3,10,3,15,2,2,4,1,14,11,10,36,5,8,13,5,5,8,61,1,11,10,12,4,8,1,8,13,2,9,1,2,2,10,2,3,4,11,7,7,6,4,6,15,8,30,1,13,8,1,8,2,5,2,5,7,46,8,9,3,5,1,7,6,10,8,4,34,7,9,9,8,8,8,4,12,1,3,7,11,19,8,6,8,6,2,7,15,6,3,2,8,2,6,5,6,7,10,2,4,6,7,1,7,10,7,6,7,13,5,7,1,3,6,6,1,8,4,6,6,12,6,6,5,6,5,5,5,4,6,5,4,31.8,21.1,17.6,6.7,9.2,27.45,36.2,19.75,257.6,0.208445934
KN005,42.5797,-80.3875,3.659797487,4.862081186,99.5,23,194.812019,22,45,17,46,16,26,12,33,11,1,19,14,19,5,18,15,25,10,28,11,1,6,2,3,7,8,3,1,3,7,19,18,4,10,1,4,11,12,7,9,22,7,246,22,14,7,2,20,2,4,20,16,3,5,16,3,8,12,10,3,3,12,9,74,14,6,9,5,2,3,10,3,14,2,2,4,0,13,10,6,27,5,8,13,5,5,8,36,1,11,10,10,4,8,2,8,10,1,6,0,2,2,7,2,2,4,11,7,7,5,4,6,11,9,25,1,12,7,0,4,2,7,1,5,7,36,8,6,3,5,1,7,7,10,9,4,29,5,9,6,7,9,8,4,11,1,1,7,8,11,5,6,7,5,2,7,9,6,3,1,8,2,3,5,6,9,6,2,4,6,5,1,7,10,7,5,5,12,5,7,1,3,6,6,1,4,4,5,6,9,6,5,5,6,6,5,5,4,6,4,4,27.8,19.4,13,7.2,4.5,25.55,32.1,11.95,291.1,0.205001433
AL27,48.07955,16.2671778,2.780377472,-2.773903007,99.4,23,189.131157,21,35,9,50,14,28,13,31,11,1,17,12,15,5,17,15,24,10,29,8,1,7,2,3,7,6,1,2,3,6,19,16,1,10,2,3,6,12,8,8,21,7,148,20,15,5,2,17,2,4,18,18,1,6,10,3,7,11,11,3,2,10,8,72,13,5,11,5,1,3,10,2,12,2,1,4,0,14,11,11,33,3,7,11,4,5,8,40,1,11,9,2,3,5,1,8,7,1,7,0,2,2,9,2,1,2,11,7,6,6,3,6,11,8,21,1,11,7,1,4,1,7,1,5,7,10,5,4,3,5,1,7,4,6,8,4,12,4,11,6,6,5,7,4,6,1,0,7,3,14,6,6,6,5,1,6,11,4,3,2,7,0,3,5,2,5,7,1,3,5,6,1,5,10,7,7,4,14,5,6,0,3,4,6,1,5,4,3,4,7,6,3,4,5,3,5,4,3,5,5,4,30.4,19.9,15.8,5.6,8.1,24.65,28.5,19.25,252.8,0.181392678
KN006,45.1925,-81.5839,3.850462431,4.993109908,99.5,16,206.01696,23,33,18,57,16,29,12,33,11,2,18,13,21,5,18,16,26,10,29,11,1,7,2,3,9,7,3,2,3,7,19,19,6,9,2,4,11,12,7,9,24,7,299,16,11,7,2,20,2,4,18,17,3,6,19,3,8,9,12,3,3,12,9,75,14,6,9,6,2,3,10,3,13,2,1,3,0,14,10,7,39,5,7,12,4,5,7,49,1,11,10,10,4,7,1,8,12,2,9,1,2,2,9,2,3,4,11,7,7,6,4,6,17,7,23,1,13,8,0,8,2,6,2,5,7,46,8,7,3,5,1,7,6,10,9,4,22,5,8,6,8,9,8,4,11,1,2,7,11,9,5,2,8,5,2,7,10,6,3,1,8,2,3,4,5,7,10,1,4,6,5,1,7,10,7,5,5,15,4,7,1,3,6,6,1,6,4,6,7,9,6,5,5,6,6,5,5,4,5,5,4,47,26.4,15.4,5.7,3.8,22.05,31.7,4.85,239.3,0.215191434
al1,69.13,94.04,-4.129548592,-0.904099275,98.8,13,209.641546,21,38,13,47,17,24,10,17,11,2,15,12,15,5,16,15,23,9,25,8,1,6,1,3,8,8,1,2,2,5,16,12,1,10,2,4,7,11,8,8,20,7,145,17,16,3,1,18,2,4,20,18,1,6,9,2,8,9,12,3,2,9,8,33,11,5,10,4,1,3,11,2,12,2,1,4,1,13,10,5,36,3,7,9,4,5,8,16,1,10,13,5,3,8,1,8,10,2,9,0,2,2,10,2,1,2,10,7,4,6,3,6,9,8,21,1,11,8,1,5,0,6,1,5,7,11,8,4,2,4,1,7,4,10,8,4,27,5,8,6,6,7,9,4,5,1,1,7,1,14,5,5,5,4,1,7,9,4,3,2,7,1,3,5,5,4,7,2,3,6,6,1,6,10,5,6,8,14,5,5,0,3,4,5,1,3,4,4,4,5,4,5,5,4,4,5,5,4,5,0,3,93,50.9,19.8,5,5.4,14.95,49.1,9.35,240.1,0.21093142
WS1,66.53735,34.50509,-3.197903036,-0.70717744,97.6,12,203.998102,21,25,13,47,16,25,11,28,12,2,14,12,17,6,16,15,23,7,20,9,1,7,2,3,8,8,2,2,2,6,16,12,1,10,1,4,8,11,6,8,9,6,135,17,15,5,1,16,2,4,16,18,3,6,10,2,8,10,10,3,3,10,9,76,12,5,8,4,2,3,10,2,11,2,2,4,1,13,9,11,38,5,7,10,4,5,7,23,1,10,12,5,1,5,1,6,12,2,10,0,1,0,10,1,2,2,8,6,6,5,2,6,5,8,28,1,12,8,1,5,2,7,1,4,7,12,6,4,2,5,1,6,5,7,8,4,11,2,9,6,6,6,9,4,9,1,1,7,10,17,6,5,6,5,2,7,16,4,3,1,7,0,4,5,7,3,5,1,4,6,9,1,6,9,6,7,5,0,3,3,0,3,5,6,1,3,4,6,5,5,3,5,4,6,2,4,5,4,5,3,3,36,26.4,19,5.65,3.4,14.25,23.6,10.35,224.2,0.208082568
KN003,41.9278,-82.5142,3.625405662,4.657615731,99.4,21,197.866433,24,41,16,47,16,29,12,30,12,1,18,12,18,6,17,12,25,9,26,9,1,6,1,3,9,8,2,2,3,7,21,18,4,10,1,4,11,12,10,9,24,7,304,22,14,6,2,20,2,4,17,15,3,5,13,3,8,11,11,3,3,12,9,62,13,6,9,5,2,3,11,3,14,2,2,4,0,14,11,7,19,5,8,13,5,5,7,43,0,11,9,8,4,8,1,7,12,0,9,1,2,2,10,2,2,3,10,7,6,6,3,6,11,8,27,1,12,8,1,6,2,5,1,5,7,24,8,7,3,4,1,7,6,9,9,4,31,5,8,8,7,9,7,4,13,1,3,7,8,16,6,6,6,5,2,7,12,6,3,1,8,2,6,5,7,8,8,2,4,6,7,1,7,12,7,5,5,9,5,6,1,3,6,6,1,6,4,6,6,9,6,5,5,6,6,5,4,4,6,5,4,36,26.4,19,5.65,4.1,26.35,32,22.15,285.6,0.206453274
73_3a,49.65,11.45,3.066372226,-3.392216159,99.6,14,205.291954,20,39,11,49,15,23,13,26,11,2,16,12,15,5,17,16,24,8,26,7,1,6,3,3,8,7,1,2,3,5,19,16,2,10,2,4,7,12,8,8,16,7,138,22,17,6,2,19,2,4,17,19,3,6,11,3,6,9,10,3,2,10,8,3,15,5,10,4,2,3,7,2,11,1,1,4,0,14,11,7,20,5,6,11,4,5,8,16,1,10,10,2,3,5,1,6,11,2,8,1,2,2,7,2,2,4,10,7,6,6,2,6,6,8,15,1,11,7,1,6,2,7,2,4,7,11,5,5,2,5,1,7,7,9,7,4,12,4,10,5,5,6,8,4,5,1,1,7,9,13,5,6,6,5,2,7,12,4,3,2,7,1,4,5,5,5,6,1,3,6,5,1,6,10,7,6,3,9,6,6,0,2,4,6,1,2,4,3,4,5,6,4,3,4,1,5,5,4,5,4,4,31.1,26.4,19,5.8,7.6,22.05,25.5,15.35,268.3,0.183266379
ALR,49.65,11.45,3.051260666,-3.158836342,99.4,8,203.735295,21,33,13,46,16,27,12,30,11,2,18,11,16,4,16,16,24,7,28,9,1,6,1,3,7,8,2,0,2,5,18,15,1,10,2,4,8,12,9,8,20,7,129,20,17,5,2,18,2,4,15,20,3,5,11,3,6,9,11,3,2,11,8,24,14,5,11,4,1,3,5,2,14,2,1,4,0,14,9,8,32,4,7,11,4,5,8,19,1,11,6,2,3,5,1,8,8,2,8,0,2,2,8,2,1,3,11,6,4,6,4,6,8,8,11,1,11,8,1,4,2,7,2,5,7,17,4,6,3,5,0,7,6,8,8,4,12,4,8,5,5,7,8,4,5,0,2,7,11,18,6,6,6,5,2,7,14,4,3,2,7,0,4,5,2,4,7,1,2,5,4,1,5,10,6,6,3,6,6,6,1,3,4,6,1,2,4,4,5,4,6,4,3,3,2,4,5,4,5,5,4,31.1,26.4,19,5.8,7.6,22.05,25.5,15.35,268.3,0.188330333
NLA,49.65,11.45,3.092830285,-3.233921181,99.6,2,198.712493,21,38,11,49,14,19,13,28,10,1,17,9,14,6,16,13,24,8,30,8,1,6,3,3,7,6,1,2,2,4,20,15,2,9,2,3,7,12,7,8,16,7,138,19,15,6,2,16,2,4,17,13,3,6,12,3,7,12,10,1,2,10,7,56,15,5,11,4,2,4,6,2,13,2,1,4,0,14,8,5,24,4,7,11,4,5,8,25,1,9,7,2,3,3,1,8,10,2,9,1,2,2,9,2,1,4,10,6,6,6,1,6,9,8,12,1,12,8,1,5,1,7,2,4,7,20,4,5,2,5,1,7,7,10,8,4,17,2,11,6,5,8,8,4,7,0,0,8,10,15,7,6,6,5,1,7,12,4,3,2,8,1,3,5,3,4,7,2,2,6,5,0,5,10,6,6,4,10,5,6,1,3,4,6,1,4,4,4,3,8,6,3,3,4,2,5,5,4,5,5,4,31.1,26.4,19,5.8,7.6,22.05,25.5,15.35,268.3,0.185545757
F1_14,49.65,11.45,3.126943684,-3.006073471,98.9,0.7,200.460221,21,35,14,57,15,21,13,28,9,2,17,12,16,5,17,14,23,9,27,9,1,6,2,3,6,8,1,2,3,4,17,18,2,9,2,4,5,12,9,8,17,7,150,20,16,5,2,18,2,4,14,19,3,6,8,3,7,13,11,1,1,13,6,33,14,6,10,5,2,3,6,2,12,2,2,4,0,13,11,6,37,5,7,11,3,5,8,26,1,11,8,8,3,10,1,8,7,2,6,0,2,2,9,2,1,3,11,2,4,6,2,6,10,7,12,1,11,8,1,7,2,7,1,5,7,14,3,5,1,5,1,7,5,10,9,4,18,2,9,5,4,9,8,3,4,1,1,7,7,13,6,6,7,5,1,7,16,4,3,1,8,1,3,5,4,5,7,2,2,4,8,1,5,10,6,6,3,4,5,4,0,3,4,6,1,1,4,4,5,4,6,3,3,5,5,5,4,4,5,4,4,31.1,26.4,19,5.8,7.6,22.05,25.5,15.35,268.3,0.174148942
