"window","p_te_count","p_te_fraction","p_nearest_te"
"gene_body",0.000424324137431608,0.00047584753210801,6.22404630451903e-54
"pm10kb",8.13322516992128e-78,1.17215920849274e-63,5.14750447939009e-35
"pm1kb",1.26706648968716e-52,6.74066021627901e-53,1.16865943878284e-60
"pm25kb",2.50109503434896e-74,4.98776782800267e-51,6.54604226499299e-26
"pm50kb",2.50758667877485e-73,3.84675232581376e-62,1.87767105893411e-06
