"analysis","adj_r2","r2"
"Raw: climate+soil | structure",0.0233933059285654,0.100769228418967
"Z-score: climate+soil | structure",0.0478300720759797,0.119910356746257
"Raw: climate | soil+structure",0.00670693202214678,0.0558668501699907
"Z-score: climate | soil+structure",0.0361045107307909,0.0807938401634135
"Raw: soil | climate+structure",0.00597774888757563,0.0338357629251035
"Z-score: soil | climate+structure",0.00496370593494622,0.031099810614667
